"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|SI","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","7","n/e","36","n/e","44","n/e","0","n/e","n/e","n/e","0","","159","n/e","n/e","699","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","7","n/e","36","n/e","45","n/e","0","n/e","n/e","n/e","0","","158","n/e","n/e","699","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","7","n/e","40","n/e","47","n/e","0","n/e","n/e","n/e","0","","157","n/e","n/e","699","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","7","n/e","37","n/e","52","n/e","0","n/e","n/e","n/e","0","","157","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","7","n/e","35","n/e","48","n/e","0","n/e","n/e","n/e","0","","158","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","7","n/e","35","n/e","48","n/e","0","n/e","n/e","n/e","0","","158","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","7","n/e","36","n/e","49","n/e","0","n/e","n/e","n/e","0","","214","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","7","n/e","36","n/e","50","n/e","0","n/e","n/e","n/e","0","","235","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","7","n/e","36","n/e","52","n/e","0","n/e","n/e","n/e","0","","231","n/e","n/e","698","n/e","n/e","10","10","n/e","0"
"BZN|SI","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","7","n/e","36","n/e","58","n/e","0","n/e","n/e","n/e","0","","282","n/e","n/e","698","n/e","n/e","28","10","n/e","0"
"BZN|SI","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","7","n/e","36","n/e","51","n/e","0","n/e","n/e","n/e","0","","277","n/e","n/e","698","n/e","n/e","50","10","n/e","0"
"BZN|SI","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","6","n/e","36","n/e","49","n/e","0","n/e","n/e","n/e","0","","241","n/e","n/e","698","n/e","n/e","64","10","n/e","0"
"BZN|SI","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","7","n/e","36","n/e","48","n/e","0","n/e","n/e","n/e","0","","227","n/e","n/e","699","n/e","n/e","66","10","n/e","0"
"BZN|SI","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","6","n/e","36","n/e","47","n/e","0","n/e","n/e","n/e","0","","340","n/e","n/e","699","n/e","n/e","50","10","n/e","0"
"BZN|SI","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","6","n/e","36","n/e","52","n/e","0","n/e","n/e","n/e","0","","351","n/e","n/e","699","n/e","n/e","27","10","n/e","0"
"BZN|SI","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","6","n/e","36","n/e","57","n/e","0","n/e","n/e","n/e","0","","450","n/e","n/e","699","n/e","n/e","9","10","n/e","0"
"BZN|SI","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","7","n/e","36","n/e","52","n/e","0","n/e","n/e","n/e","25","","554","n/e","n/e","699","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","7","n/e","36","n/e","50","n/e","0","n/e","n/e","n/e","119","","615","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","7","n/e","36","n/e","49","n/e","0","n/e","n/e","n/e","119","","584","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","7","n/e","36","n/e","47","n/e","0","n/e","n/e","n/e","147","","689","n/e","n/e","698","n/e","n/e","0","11","n/e","0"
"BZN|SI","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","7","n/e","36","n/e","50","n/e","0","n/e","n/e","n/e","1","","640","n/e","n/e","698","n/e","n/e","0","10","n/e","0"
"BZN|SI","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","7","n/e","36","n/e","53","n/e","0","n/e","n/e","n/e","0","","443","n/e","n/e","698","n/e","n/e","0","11","n/e","0"
